time,gFx,gFy,gFz,TgF
1.682034062,-0.0188,0.0230,1.1490,1.160
1.684567031,-0.0154,0.0325,1.1363,1.146
1.687633906,-0.0173,0.0425,1.1266,1.136
1.690728593,-0.0132,0.0542,1.1112,1.121
1.691479218,-0.0100,0.0662,1.0987,1.108
1.694490624,-0.0071,0.0769,1.0819,1.091
1.696680676,-0.0063,0.0833,1.0628,1.072
1.698457291,-0.0078,0.0840,1.0454,1.054
1.701691041,-0.0090,0.0813,1.0347,1.044
1.70429552,-0.0127,0.0767,1.0247,1.034
1.705664166,-0.0188,0.0725,1.0237,1.033
1.708067656,-0.0237,0.0650,1.0244,1.034
1.711120728,-0.0286,0.0618,1.0303,1.040
1.713080103,-0.0173,0.0669,1.0222,1.032
1.715341249,-0.0234,0.0606,1.0391,1.049
1.718044114,-0.0291,0.0479,1.0364,1.047
1.72043776,-0.0364,0.0418,1.0432,1.054
1.722489739,-0.0418,0.0391,1.0376,1.049
1.725618541,-0.0444,0.0361,1.0425,1.054
1.727227603,-0.0442,0.0342,1.0447,1.056
1.730665051,-0.0391,0.0369,1.0462,1.057
1.732284478,-0.0322,0.0381,1.0523,1.063
1.734888072,-0.0227,0.0398,1.0584,1.069
1.738645156,-0.0127,0.0408,1.0511,1.061
1.739235051,-0.0039,0.0442,1.0425,1.052
1.744039791,0.0024,0.0430,1.0303,1.040
1.744250989,0.0076,0.0444,1.0166,1.026
1.746855989,0.0152,0.0479,0.9973,1.006
1.749368489,0.0218,0.0537,0.9878,0.997
1.751948906,0.0142,0.0479,0.9851,0.994
1.754385624,0.0078,0.0383,0.9924,1.002
1.756374791,0.0032,0.0342,0.9854,0.995
1.758815885,-0.0061,0.0356,0.9819,0.992
1.761313801,-0.0168,0.0295,0.9819,0.992
1.763734843,-0.0298,0.0291,0.9900,1.001
1.765981666,-0.0369,0.0330,0.9944,1.006
1.768242135,-0.0413,0.0410,0.9983,1.009
1.771149895,-0.0425,0.0735,1.0078,1.018
1.773092708,-0.0430,0.1040,1.0142,1.025
1.775245833,-0.0264,0.1195,1.0369,1.048
1.777670208,-0.0256,0.1185,1.0540,1.064
1.780120833,-0.0327,0.1043,1.0606,1.071
1.782493749,-0.0259,0.1016,1.0452,1.055
1.784900728,-0.0107,0.1234,1.0340,1.044
1.787685051,0.0083,0.1461,1.0345,1.045
1.789681145,0.0232,0.1595,1.0459,1.058
1.792390103,0.0335,0.1666,1.0547,1.067
1.79453552,0.0325,0.1661,1.0594,1.072
1.797353593,0.0284,0.1639,1.0650,1.077
1.799330937,0.0149,0.1551,1.0801,1.092
1.801720728,-0.0015,0.1446,1.0968,1.108
1.804639843,-0.0161,0.1422,1.1077,1.119
1.80665427,-0.0212,0.1348,1.1217,1.133
1.809435468,-0.0171,0.1353,1.1251,1.136
1.811496458,-0.0093,0.1373,1.1134,1.124
1.813685468,-0.0029,0.1412,1.0960,1.107
1.816303489,-0.0017,0.1510,1.0811,1.093
1.818923801,-0.0012,0.1605,1.0775,1.090
1.821207968,-0.0073,0.1688,1.0709,1.084
1.823109322,-0.0168,0.1732,1.0542,1.068
1.826042083,-0.0298,0.1759,1.0432,1.058
1.828083541,-0.0415,0.1732,1.0398,1.055
1.831022708,-0.0523,0.1664,1.0469,1.062
1.832919478,-0.0603,0.1615,1.0577,1.073
1.835215624,-0.0699,0.1527,1.0616,1.077
1.837864374,-0.0787,0.1529,1.0613,1.077
1.839912187,-0.0757,0.1510,1.0642,1.080
1.842762656,-0.0594,0.1446,1.0503,1.064
1.845063697,-0.0896,0.1412,1.0445,1.061
1.847817864,-0.0948,0.1402,1.0494,1.066
1.850115572,-0.1018,0.1461,1.0620,1.080
1.85256302,-0.1146,0.1458,1.0606,1.080
1.856283749,-0.1234,0.1439,1.0423,1.063
1.856919791,-0.1251,0.1473,1.0332,1.055
1.859198697,-0.1248,0.1507,1.0342,1.056
1.862259583,-0.1212,0.1549,1.0442,1.065
1.864413072,-0.1138,0.1615,1.0476,1.068
1.866732135,-0.1046,0.1673,1.0486,1.069
1.869354947,-0.0953,0.1727,1.0298,1.049
1.87923828,-0.0877,0.1803,1.0100,1.030
1.879564791,-0.0769,0.1886,0.9985,1.018
1.87966901,-0.0635,0.1952,0.9993,1.018
1.879929583,-0.0506,0.2008,1.0093,1.028
1.88129151,-0.0408,0.2067,1.0046,1.024
1.883102187,-0.0376,0.2113,1.0046,1.024
1.885870155,-0.0327,0.2201,0.9968,1.017
1.888037135,-0.0254,0.2245,0.9929,1.014
1.890336666,-0.0142,0.2301,0.9783,0.999
1.892851301,-0.0015,0.2401,0.9614,0.984
1.895103124,0.0078,0.2482,0.9529,0.977
1.89764651,0.0213,0.2594,0.9504,0.976
1.899830208,0.0327,0.2697,0.9651,0.993
1.902655051,0.0354,0.2827,0.9775,1.008
1.90500802,0.0315,0.2963,0.9937,1.026
1.90767078,0.0205,0.3083,1.0056,1.040
1.910996041,0.0112,0.3195,1.0169,1.054
1.912141353,-0.0017,0.3366,1.0249,1.066
1.91445927,-0.0081,0.3530,1.0413,1.086
1.917102551,-0.0095,0.3716,1.0616,1.111
1.919409999,-0.0061,0.3833,1.0867,1.138
1.921792239,-0.0005,0.3850,1.1048,1.156
1.924272603,0.0073,0.3852,1.1087,1.159
1.926906666,0.0112,0.3782,1.1011,1.150
1.929410885,0.0154,0.3652,1.0823,1.129
1.931831874,0.0152,0.3525,1.0552,1.099
1.933777291,0.0154,0.3420,1.0411,1.083
1.936575728,0.0132,0.3303,1.0244,1.064
1.93946078,0.0176,0.3173,0.9958,1.033
1.94086901,0.0259,0.3068,0.9929,1.028
1.943092655,0.0413,0.2978,0.9951,1.028
1.945547708,0.0625,0.2924,0.9734,1.006
1.948478437,0.0784,0.2966,0.9722,1.007
1.95073703,0.0880,0.2983,0.9597,0.996
1.95327802,0.0911,0.3010,0.9404,0.978
1.955205208,0.0924,0.3027,0.9294,0.968
1.957515989,0.0855,0.3017,0.9189,0.957
1.959947499,0.0738,0.3022,0.9174,0.955
1.96226927,0.0579,0.2978,0.9157,0.951
1.964709322,0.0464,0.2966,0.8996,0.935
1.96712828,0.0386,0.2956,0.8837,0.919
1.969734322,0.0320,0.2953,0.8955,0.930
1.972105885,0.0210,0.2973,0.8742,0.910
1.974349947,0.0152,0.2985,0.8356,0.873
1.976692603,0.0169,0.2997,0.8688,0.905
1.979166353,0.0090,0.3034,0.8204,0.860
1.981528905,0.0039,0.3093,0.8327,0.873
